Iteration,Character,Prev_Position,New_Position,Steps,Result
0,Heroe,5,4,1,0
0,Bruja,0,1,1,0
0,Heroe,2,1,3,0
0,Bruja,1,2,1,0
0,Heroe,1,0,1,0
0,Bruja,2,2,0,0
0,Heroe,2,3,3,0
0,Bruja,2,3,1,0
0,Heroe,3,3,0,0
0,Bruja,3,4,1,0
0,Heroe,3,3,0,0
0,Bruja,4,5,1,0
0,Heroe,3,2,1,0
0,Bruja,5,6,1,0
0,Heroe,2,2,0,0
0,Bruja,6,6,0,0
0,Heroe,1,0,3,0
0,Bruja,6,7,1,0
0,Heroe,0,1,1,0
0,Bruja,7,15,1,0
0,Heroe,1,2,1,0
0,Bruja,15,29,2,0
0,Heroe,3,4,2,0
0,Bruja,29,29,0,0
0,Heroe,6,7,3,0
0,Bruja,29,30,1,0
0,Heroe,7,6,1,0
0,Bruja,30,32,1,0
0,Bruja,32,32,0,1
1,Heroe,5,5,0,0
1,Bruja,0,1,1,0
1,Heroe,3,2,3,0
1,Bruja,1,1,0,0
1,Heroe,2,1,1,0
1,Bruja,1,2,1,0
1,Heroe,1,0,3,0
1,Bruja,2,3,1,0
1,Heroe,0,1,1,0
1,Bruja,3,4,1,0
1,Heroe,1,0,1,0
1,Bruja,4,5,1,0
1,Heroe,1,2,2,0
1,Bruja,5,6,1,0
1,Heroe,2,1,1,0
1,Bruja,6,6,0,0
1,Heroe,1,0,1,0
1,Bruja,6,7,1,0
1,Heroe,2,3,3,0
1,Bruja,7,8,1,0
1,Heroe,3,4,1,0
1,Bruja,8,9,1,0
1,Heroe,4,3,1,0
1,Bruja,9,10,1,0
1,Heroe,3,2,1,0
1,Bruja,10,11,1,0
1,Heroe,2,1,1,0
1,Bruja,11,12,1,0
1,Heroe,2,3,2,0
1,Bruja,12,12,0,0
1,Heroe,5,6,3,0
1,Bruja,12,13,1,0
1,Heroe,8,9,3,0
1,Bruja,13,23,1,0
1,Bruja,23,23,0,1
2,Heroe,5,6,1,0
2,Bruja,0,1,1,0
2,Heroe,8,9,3,0
2,Bruja,1,1,0,0
2,Heroe,7,15,3,0
2,Bruja,1,2,1,0
2,Heroe,9,10,3,0
2,Bruja,2,2,0,0
2,Heroe,22,15,2,0
2,Bruja,2,3,1,0
2,Heroe,15,22,1,0
2,Bruja,3,4,1,0
2,Heroe,7,16,3,0
2,Bruja,4,5,1,0
2,Heroe,16,20,1,0
2,Bruja,5,6,1,0
2,Heroe,18,17,3,0
2,Bruja,6,7,1,0
2,Heroe,16,20,2,0
2,Bruja,7,22,2,0
2,Heroe,20,20,0,0
2,Bruja,22,29,1,0
2,Heroe,20,20,0,0
2,Bruja,29,30,1,0
2,Heroe,39,41,2,0
2,Bruja,30,27,1,0
2,Bruja,27,27,0,1
3,Heroe,3,2,3,0
3,Bruja,0,1,1,0
3,Heroe,2,1,1,0
3,Bruja,1,2,1,0
3,Heroe,1,0,2,0
3,Bruja,2,4,2,0
3,Heroe,0,0,0,0
3,Bruja,4,5,1,0
3,Heroe,0,0,0,0
3,Bruja,5,6,1,0
